age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y;Probability_Success_%;Model_Prediction
22;student;single;high.school;no;yes;no;cellular;aug;thu;425;2;999;0;nonexistent;-2.9;92.201;-31.4;0.873;5076.2;yes;74.0;1
64;housemaid;married;unknown;no;yes;no;telephone;may;wed;671;3;999;0;nonexistent;-1.8;93.876;-40.0;0.697;5008.7;yes;74.0;1
39;blue-collar;married;basic.9y;no;yes;no;cellular;sep;mon;791;3;999;0;nonexistent;-1.1;94.199;-37.5;0.882;4963.6;no;74.0;1
33;admin.;single;university.degree;no;no;no;cellular;jun;tue;541;3;999;0;nonexistent;-2.9;92.963;-40.8;1.262;5076.2;yes;74.0;1
30;blue-collar;married;high.school;no;no;no;cellular;mar;tue;658;1;999;0;nonexistent;-1.8;93.369;-34.8;0.655;5008.7;yes;74.0;1
52;blue-collar;married;basic.9y;no;no;no;cellular;aug;fri;809;1;999;0;nonexistent;1.4;93.444;-36.1;4.966;5228.1;yes;73.0;1
52;admin.;married;university.degree;no;yes;no;cellular;may;thu;227;2;999;0;nonexistent;-1.8;93.876;-40.0;0.677;5008.7;no;73.0;1
48;unemployed;single;basic.9y;no;yes;no;cellular;apr;thu;242;1;2;1;success;-1.8;93.075;-47.1;1.365;5099.1;yes;73.0;1
22;student;single;high.school;no;no;no;cellular;oct;fri;270;3;6;1;success;-3.4;92.431;-26.9;0.73;5017.5;yes;73.0;1
39;self-employed;married;basic.9y;no;yes;no;cellular;may;fri;744;1;999;0;nonexistent;-1.8;92.893;-46.2;1.25;5099.1;yes;73.0;1
32;admin.;single;professional.course;no;no;no;cellular;may;thu;1145;1;999;1;failure;-1.8;92.893;-46.2;1.327;5099.1;no;73.0;1
48;management;married;university.degree;no;yes;yes;cellular;nov;tue;747;2;999;0;nonexistent;-3.4;92.649;-30.1;0.715;5017.5;yes;73.0;1
46;blue-collar;married;basic.9y;no;no;no;cellular;aug;wed;1044;2;999;0;nonexistent;1.4;93.444;-36.1;4.967;5228.1;yes;73.0;1
59;admin.;married;high.school;no;yes;no;cellular;aug;wed;1019;2;2;1;success;-2.9;92.201;-31.4;0.884;5076.2;yes;73.0;1
31;student;single;university.degree;no;no;no;cellular;aug;tue;224;1;9;2;failure;-1.7;94.027;-38.3;0.899;4991.6;no;73.0;1
25;admin.;single;university.degree;no;no;yes;cellular;nov;mon;165;1;3;2;success;-3.4;92.649;-30.1;0.715;5017.5;yes;73.0;1
31;admin.;single;university.degree;no;unknown;unknown;cellular;oct;tue;192;1;3;1;success;-1.1;94.601;-49.5;1.008;4963.6;yes;73.0;1
38;entrepreneur;married;basic.6y;no;no;no;cellular;jun;tue;271;1;2;3;success;-1.7;94.055;-39.8;0.761;4991.6;yes;73.0;1
27;services;single;university.degree;no;no;no;cellular;mar;fri;212;1;999;0;nonexistent;-1.8;93.369;-34.8;0.649;5008.7;yes;73.0;1
34;admin.;single;high.school;no;yes;no;cellular;may;fri;655;2;999;0;nonexistent;-1.8;92.893;-46.2;1.25;5099.1;yes;73.0;1
45;admin.;married;university.degree;no;no;no;cellular;jul;wed;194;1;13;1;success;-2.9;92.469;-33.6;1.029;5076.2;no;73.0;1
35;technician;single;professional.course;no;yes;no;cellular;jun;tue;187;1;6;2;success;-1.7;94.055;-39.8;0.713;4991.6;yes;73.0;1
52;admin.;married;university.degree;no;no;yes;telephone;apr;thu;395;3;999;0;nonexistent;-1.8;93.749;-34.6;0.659;5008.7;yes;73.0;1
53;admin.;divorced;university.degree;no;no;no;cellular;mar;thu;2486;1;999;0;nonexistent;-1.8;93.369;-34.8;0.654;5008.7;yes;72.0;1
27;student;single;university.degree;no;no;no;cellular;aug;wed;180;1;3;3;success;-1.7;94.027;-38.3;0.9;4991.6;yes;72.0;1
32;services;single;high.school;no;yes;yes;cellular;aug;wed;253;1;4;2;success;-2.9;92.201;-31.4;0.884;5076.2;yes;72.0;1
46;management;married;high.school;no;yes;yes;cellular;aug;wed;1456;3;999;0;nonexistent;1.4;93.444;-36.1;4.967;5228.1;yes;72.0;1
54;unemployed;married;high.school;no;yes;no;cellular;dec;wed;346;1;999;0;nonexistent;-3.0;92.713;-33.0;0.721;5023.5;yes;72.0;1
37;technician;married;professional.course;no;yes;yes;cellular;mar;wed;395;1;9;1;success;-1.8;93.369;-34.8;0.644;5008.7;no;72.0;1
32;student;single;high.school;no;yes;no;cellular;jul;thu;853;2;999;0;nonexistent;1.4;93.918;-42.7;4.962;5228.1;yes;72.0;1
40;admin.;married;high.school;no;yes;no;cellular;apr;thu;401;1;999;0;nonexistent;-1.8;93.075;-47.1;1.365;5099.1;no;72.0;1
27;admin.;married;university.degree;no;yes;no;cellular;aug;tue;415;5;12;1;success;-1.7;94.027;-38.3;0.886;4991.6;yes;72.0;1
39;unemployed;single;basic.9y;no;yes;no;telephone;may;mon;846;2;999;0;nonexistent;-1.8;92.893;-46.2;1.354;5099.1;no;71.0;1
29;admin.;single;professional.course;no;no;no;cellular;apr;thu;427;3;999;0;nonexistent;-1.8;93.075;-47.1;1.365;5099.1;yes;71.0;1
58;admin.;married;basic.4y;unknown;no;no;cellular;may;fri;901;1;999;0;nonexistent;-1.8;92.893;-46.2;1.25;5099.1;yes;71.0;1
35;technician;married;high.school;no;no;no;cellular;aug;thu;787;1;999;0;nonexistent;1.4;93.444;-36.1;4.962;5228.1;no;71.0;1
29;admin.;married;high.school;no;yes;no;cellular;jun;tue;379;2;13;1;success;-1.7;94.055;-39.8;0.723;4991.6;yes;71.0;1
32;admin.;married;university.degree;no;no;no;cellular;jun;tue;596;1;999;0;nonexistent;-2.9;92.963;-40.8;1.262;5076.2;yes;71.0;1
34;admin.;married;high.school;no;no;yes;cellular;sep;wed;214;2;999;0;nonexistent;-1.1;94.199;-37.5;0.876;4963.6;no;71.0;1
32;technician;married;university.degree;no;yes;no;cellular;aug;tue;815;2;999;0;nonexistent;1.4;93.444;-36.1;4.966;5228.1;yes;71.0;1
53;blue-collar;single;basic.9y;no;yes;no;cellular;jul;wed;355;1;999;0;nonexistent;-1.7;94.215;-40.3;0.84;4991.6;yes;71.0;1
53;technician;married;high.school;no;yes;no;cellular;mar;tue;539;2;999;0;nonexistent;-1.8;93.369;-34.8;0.655;5008.7;yes;71.0;1
37;admin.;married;university.degree;no;yes;no;cellular;nov;fri;315;1;999;0;nonexistent;-1.1;94.767;-50.8;1.04;4963.6;yes;71.0;1
47;blue-collar;married;basic.6y;no;no;yes;cellular;jul;mon;930;1;999;0;nonexistent;1.4;93.918;-42.7;4.96;5228.1;no;71.0;1
76;housemaid;married;basic.4y;no;no;no;cellular;jun;tue;296;5;999;0;nonexistent;-1.7;94.055;-39.8;0.702;4991.6;yes;71.0;1
57;self-employed;married;university.degree;unknown;yes;no;cellular;aug;mon;932;2;999;0;nonexistent;1.4;93.444;-36.1;4.965;5228.1;yes;71.0;1
34;admin.;single;high.school;no;yes;no;cellular;may;wed;653;1;11;1;success;-1.8;92.893;-46.2;1.334;5099.1;yes;71.0;1
23;blue-collar;single;basic.9y;no;yes;no;cellular;may;mon;672;1;999;0;nonexistent;-1.8;92.893;-46.2;1.299;5099.1;yes;71.0;1
40;admin.;divorced;high.school;no;no;no;cellular;jul;wed;1776;3;999;0;nonexistent;1.4;93.918;-42.7;4.963;5228.1;no;71.0;1
83;retired;married;high.school;no;no;no;cellular;dec;thu;155;1;4;3;success;-3.0;92.713;-33.0;0.72;5023.5;yes;70.0;1
24;admin.;single;university.degree;no;no;no;cellular;sep;thu;303;1;999;1;failure;-1.1;94.199;-37.5;0.879;4963.6;yes;70.0;1
29;services;married;basic.9y;no;yes;no;cellular;jul;fri;1389;2;999;0;nonexistent;1.4;93.918;-42.7;4.963;5228.1;no;70.0;1
33;technician;married;unknown;no;yes;yes;cellular;sep;thu;414;1;9;3;failure;-1.1;94.199;-37.5;0.879;4963.6;yes;70.0;1
50;admin.;single;high.school;no;yes;no;telephone;dec;fri;705;2;999;0;nonexistent;-3.0;92.713;-33.0;0.718;5023.5;yes;70.0;1
37;admin.;married;basic.6y;no;yes;yes;cellular;jul;thu;1602;6;999;0;nonexistent;1.4;93.918;-42.7;4.962;5228.1;yes;70.0;1
38;admin.;married;university.degree;no;yes;no;cellular;nov;tue;64;1;3;3;success;-3.4;92.649;-30.1;0.715;5017.5;yes;70.0;1
32;technician;single;university.degree;no;no;no;cellular;jun;mon;1048;1;999;0;nonexistent;-2.9;92.963;-40.8;1.266;5076.2;yes;70.0;1
38;services;single;high.school;no;yes;no;cellular;apr;wed;1665;3;999;0;nonexistent;-1.8;93.075;-47.1;1.445;5099.1;yes;70.0;1
39;technician;divorced;high.school;no;no;no;cellular;mar;mon;174;1;3;1;success;-1.8;93.369;-34.8;0.639;5008.7;yes;70.0;1
38;blue-collar;single;basic.9y;no;no;no;cellular;may;wed;654;2;999;1;failure;-1.8;92.893;-46.2;1.281;5099.1;yes;70.0;1
51;services;married;high.school;no;no;no;cellular;may;tue;1267;1;999;1;failure;-1.8;93.876;-40.0;0.668;5008.7;yes;70.0;1
